eval 	height_to_update 	dia1_to_update 		obj_fn 		nln_ineq_con_1
2  4.0040000000e-02 8.0000000000e-02 2.0116246079e+02 2.0126299176e+02 
7  5.2738980426e-02 9.2491224397e-02 2.8761928443e+02 3.5434202954e+02 
11 5.2739756062e-02 9.2492106528e-02 2.8762556296e+02 3.5435400000e+02 
19 5.4131485648e-02 9.1449095261e-02 2.8688219550e+02 3.5554833917e+02 
24 5.4068335207e-02 9.1348670354e-02 2.8624182636e+02 3.5435400000e+02 
29 5.6676827811e-02 8.9443491648e-02 2.8492493849e+02 3.5611716351e+02 
34 5.6585211490e-02 8.9293983367e-02 2.8398196409e+02 3.5435390168e+02 
39 6.1556314230e-02 8.5834042482e-02 2.8171819676e+02 3.5618991821e+02 
44 6.1464461463e-02 8.5676494477e-02 2.8074184416e+02 3.5435400001e+02 
49 6.7687991887e-02 8.1707791906e-02 2.7861899270e+02 3.5491835483e+02 
54 6.7661242792e-02 8.1658941063e-02 2.7832113136e+02 3.5435399997e+02 
59 7.0518456915e-02 8.0017663882e-02 2.7784670953e+02 3.5462097358e+02 
64 7.0506136377e-02 7.9994513257e-02 2.7770627056e+02 3.5435388494e+02 
69 7.3680083975e-02 7.8252587433e-02 2.7732066504e+02 3.5435405458e+02 
74 7.5133257839e-02 7.7493012396e-02 2.7724196922e+02 3.5436203679e+02
79 7.5693835264e-02 7.7205350647e-02 2.7722362895e+02 3.5436040681e+02 
84 7.5693554713e-02 7.7204795727e-02 2.7722028295e+02 3.5435399946e+02
